 拎包入住,AI影音,免服務費,免管理費,南北通透,可入籍,可報稅,可短租,可開伙,可養寵物,押一付一,新上架,有車位,有陽台,有電梯,社會住宅,租金補貼,隨時可遷入,高齡友善,ping,addr,Rent,type,title,lat,lng,cluster,title_clean,title_tokens,可租補,陽台
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,7.0,台北市文山區興隆路三段,16000,1,興隆拾光雅居採光極佳溫馨小天地可租補,24.995135557669,121.559747711824,10,興隆拾光雅居採光極佳溫馨小天地可租補,"['興隆拾', '光雅居', '採光', '極佳', '溫馨', '小天地', '可租補']",1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,6.0,台北市文山區木柵路三段,15800,2,🌈木柵路美寓｜可租補｜飯店式管理｜採光佳☀️阿傳☀️,24.988895012341,121.5684061769,16,木柵路美寓 可租補 飯店式管理 採光佳 阿傳,"['木柵路', '美寓', ' ', '可租補', ' ', '飯店', '式', '管理', ' ', '採光佳', ' ', '阿傳']",1,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,10.0,台北市文山區景興路96巷39號,19500,3,獨立大門！景美捷運站步行兩分鐘！世新大學及台北上班族,24.994565790982,121.542509347919,5,獨立大門 景美捷運站步行兩分鐘 世新大學及台北上班族,"['獨立', '大門', ' ', '景美', '捷運站', '步行', '兩分鐘', ' ', '世新大學', '及', '台北', '上班族']",0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,台北市文山區興隆路三段36巷9弄,11800,2,761二樓套房，近捷運,25.000881471206,121.554885395595,3,761二樓套房 近捷運,"['761', '二樓', '套房', ' ', '近捷運']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,台北市文山區興隆路三段36巷9弄,4800,1,761二樓雅房，近捷運，有大小間可挑選,25.000881471206,121.554885395595,3,761二樓雅房 近捷運 有大小間可挑選,"['761', '二樓', '雅房', ' ', '近捷運', ' ', '有', '大小', '間', '可', '挑選']",0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6.0,台北市文山區羅斯福路六段,11200,1,文山區羅斯福路｜萬隆站4分鐘．家庭式共生宅．電梯管理｜可開伙,24.994496793815,121.541112282616,5,文山區羅斯福路 萬隆站4分鐘 家庭式共生宅 電梯管理 可開伙,"['文山', '區羅斯福路', ' ', '萬隆', '站', '4', '分鐘', ' ', '家庭式', '共生', '宅', ' ', '電梯', '管理', ' ', '可開伙']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,台北市文山區辛亥路五段73巷7弄,12000,3,👍獨立套房👍近中國科大👍生活機能佳,24.997809894197,121.553459622609,7,獨立套房 近中國科大 生活機能佳,"['獨立', '套房', ' ', '近中國', '科大', ' ', '生活', '機能', '佳']",0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5.0,台北市文山區忠順街二段90巷,6000,1,政大後門6分鐘|採光亮安靜讀書佳|教授+學長,24.984968790694,121.565788165895,16,政大後門6分鐘 採光亮安靜讀書佳 教授 學長,"['政大後門', '6', '分鐘', ' ', '採', '光亮', '安靜', '讀書佳', ' ', '教授', ' ', '學長']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.5,台北市文山區羅斯福路五段,13000,3,可短租4個月台大/台科大公館2樓雙窗雙人床景觀優質套房,25.005255054602,121.5388267536,14,可短租4個月台大 台科大公館2樓雙窗雙人床景觀優質套房,"['可短租', '4', '個', '月', '台大', ' ', '台科', '大公', '館', '2', '樓', '雙窗', '雙人床', '景觀', '優質', '套房']",0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,14.0,台北市文山區木柵路一段59巷9弄2號,16500,2,☀️文山區大套房/限時優惠首月折5千/免仲介費/乾溼分離,24.9878059118,121.546167126645,0,文山區大套房 限時優惠首月折5千 免仲介費 乾溼分離,"['文山', '區大', '套房', ' ', '限時', '優惠首', '月', '折', '5', '千', ' ', '免', '仲介', '費', ' ', '乾', '溼', '分', '離']",0,0
